project,Url,Description,Files,Loc,Commit,IssueCommit,Committer,IssueCommiter,PyFiles,PyLoc,AvgLoCPerFile
fastapi,https://github.com/tiangolo/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for productionfastapi",570,41038,1385,624,233,228,512,36305,70.90820313
FastPhotoStyle,https://github.com/NVIDIA/FastPhotoStyle,"Style transfer, deep learning, feature transformFastPhotoStyle",16,1430,49,4,7,3,12,1391,115.9166667
fast-style-transfer,https://github.com/lengstrom/fast-style-transfer,TensorFlow CNN for fast style transfer ⚡🖥🎨🖼fast-style-transfer,9,616,49,2,16,1,7,608,86.85714286
FATE,https://github.com/FederatedAI/FATE,FATE,2080,185379,1924,9,67,6,1162,103972,89.4767642
faust,https://github.com/robinhood/faust,faust,358,50290,3238,130,83,8,341,46419,136.1260997
featuretools,https://github.com/alteryx/featuretools,An open source python library for automated feature engineeringfeaturetools,154,23891,655,637,56,55,137,22857,166.8394161
ffmpeg-python,https://github.com/kkroening/ffmpeg-python,Python bindings for FFmpeg - with complex filtering supportffmpeg-python,39,12410,303,47,23,3,20,2234,111.7
ffsubsync,https://github.com/smacke/ffsubsync,Automagically synchronize subtitles with video.ffsubsync,39,3518,200,14,8,3,26,3275,125.9615385
flair,https://github.com/flairNLP/flair,A very simple framework for state-of-the-art Natural Language Processing (NLP)flair,80,26498,2353,44,193,20,69,26196,379.6521739
flan,https://github.com/cloudflare/flan,A pretty sweet vulnerability scannerflan,22,810,79,2,17,2,16,495,30.9375
Flashlight,https://github.com/nate-parrott/Flashlight,The missing Spotlight plugin systemFlashlight,1459,101102,1160,32,139,6,494,40920,82.8340081
flashtext,https://github.com/vi3k6i5/flashtext,Extract Keywords from sentence or Replace keywords in sentences.flashtext,18,1027,84,0,7,0,18,1027,57.05555556
flask,https://github.com/pallets/flask,The Python micro framework for building web applications.flask,103,10299,1859,282,544,139,71,9769,137.5915493
flask-admin,https://github.com/flask-admin/flask-admin,flask-admin,418,118146,1618,181,301,47,128,15793,123.3828125
Flask-AppBuilder,https://github.com/dpgaspar/Flask-AppBuilder,Flask-AppBuilder,407,54464,2919,337,147,69,243,25301,104.1193416
Flask-SocketIO,https://github.com/miguelgrinberg/Flask-SocketIO,Socket.IO integration for Flask applications.Flask-SocketIO,18,1738,214,50,36,18,9,1373,152.5555556
flask-sqlalchemy,https://github.com/pallets/flask-sqlalchemy,Adds SQLAlchemy support to Flaskflask-sqlalchemy,49,2305,295,31,67,12,31,1881,60.67741935
flasky,https://github.com/miguelgrinberg/flasky,"Companion code to my O'Reilly book ""Flask Web Development"", second edition.flasky",65,2603,46,0,1,0,38,2008,52.84210526
flocker,https://github.com/ClusterHQ/flocker,Container data volume manager for your Dockerized applicationflocker,442,78555,11713,28,49,10,374,64558,172.6149733
flower,https://github.com/mher/flower,Real-time monitor and web admin for Celery distributed task queueflower,113,17024,869,243,185,93,49,3878,79.14285714
fluo-muchos,https://github.com/apache/fluo-muchos,Apache Fluo Muchosfluo-muchos,70,2490,102,55,6,4,8,977,122.125
folium,https://github.com/python-visualization/folium,Python Data. Leaflet.js Maps. folium,105,20552,854,167,117,61,71,4508,63.49295775
formspree,https://github.com/formspree/formspree,Easy HTML form without PHP or JavaScriptformspree,161,12813,573,9,20,5,42,4071,96.92857143
freqtrade,https://github.com/freqtrade/freqtrade,freqtrade,251,42788,7645,295,217,37,203,40907,201.5123153
frida,https://github.com/frida/frida,frida,28,5794,3107,46,40,26,9,2361,262.3333333
fsociety,https://github.com/Manisso/fsociety,fsociety Hacking Tools Pack �?A Penetration Testing Frameworkfsociety,10,1834,212,3,19,2,1,1420,1420
fuckitpy,https://github.com/ajalt/fuckitpy,The Python error steamroller.fuckitpy,5,193,39,3,10,2,5,193,38.6
fuck-login,https://github.com/xchaoinfo/fuck-login,模拟登录一些知名的网站，为了方便爬取需要登录的网站fuck-login,33,2477,76,0,21,0,33,2477,75.06060606
full-stack-fastapi-postgresql,https://github.com/tiangolo/full-stack-fastapi-postgresql,"Full stack, modern web application generator. Using FastAPI, PostgreSQL as database, Docker, automatic HTTPS and more.full-stack-fastapi-postgresql",106,2750,101,40,16,16,45,1327,29.48888889
fuzzDicts,https://github.com/TheKingOfDuck/fuzzDicts,"Web Pentesting Fuzz 字典,一个就够了。fuzzDicts",23,1068,150,0,5,0,22,1059,48.13636364
fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,Fuzzy String Matching in Pythonfuzzywuzzy,11,975,211,10,45,8,11,975,88.63636364
gajim,https://github.com/gajim/gajim,Mirror of the main Gajim! repo File Bugs at https://dev.gajim.org/gajim/gajimgajim,241,89973,2139,242,63,15,224,89028,397.4464286
gallery-dl,https://github.com/mikf/gallery-dl,Command-line program to download image galleries and collections from several image hosting sitesgallery-dl,204,30471,3099,1111,50,47,197,30153,153.0609137
game-programmer,https://github.com/miloyip/game-programmer,A Study Path for Game Programmergame-programmer,3,202,65,8,9,3,1,176,176
Games,https://github.com/CharlesPikachu/Games,Games,186,12760,131,1,1,1,182,12724,69.91208791
GamestonkTerminal,https://github.com/GamestonkTerminal/GamestonkTerminal,GamestonkTerminal,553,495978,857,212,52,24,336,51081,152.0267857
gef,https://github.com/hugsy/gef,GEF (GDB Enhanced Features) - a modern experience for GDB with advanced debugging features for exploit developers & reverse engineers ☢gef,37,10204,1712,408,93,36,5,9496,1899.2
generative-models,https://github.com/wiseodd/generative-models,"Collection of generative models, e.g. GAN, VAE in Pytorch and Tensorflow.generative-models",51,4629,87,3,6,1,50,4620,92.4
gensim,https://github.com/RaRe-Technologies/gensim,Topic Modelling for Humansgensim,859,209440,2324,769,349,242,720,169999,236.1097222
geopy,https://github.com/geopy/geopy,Geocoding library for Python.geopy,93,10309,907,99,116,47,88,10021,113.875
ggpy,https://github.com/yhat/ggpy,ggplot port for pythonggpy,110,5307,205,2,17,2,108,5295,49.02777778
GHunt,https://github.com/mxrch/GHunt,GHunt,17,1667,149,26,21,6,17,1667,98.05882353
gibMacOS,https://github.com/corpnewt/gibMacOS,gibMacOS,10,2640,165,0,8,0,10,2640,264
gitfiti,https://github.com/gelstudios/gitfiti,abusing github commit history for the lulzgitfiti,3,483,102,2,26,2,3,483,161
GitGutter,https://github.com/jisaacks/GitGutter,A Sublime Text 2/3 plugin to see git diff in gutterGitGutter,34,2803,411,62,72,8,28,2592,92.57142857
GitHub520,https://github.com/521xueweihan/GitHub520,:kissing_heart: 让你“爱”上 GitHub，解决访问时图裂、加载慢的问题。（无需安装）GitHub520,1,118,3497,0,8,0,1,118,118
gitpitch,https://github.com/gitpitch/gitpitch,"Markdown Presentations for Tech Conferences, Training, Developer Advocates, and Educators.gitpitch",26,253,151,4,7,4,1,22,22
gitsome,https://github.com/donnemartin/gitsome,A supercharged Git/GitHub command line interface (CLI).  An official integration for GitHub and GitHub Enterprise: https://github.com/works-with/category/desktop-toolsgitsome,360,50344,786,45,29,18,326,46252,141.8773006
gixy,https://github.com/yandex/gixy,Nginx configuration static analyzergixy,55,4778,110,9,18,1,48,4741,98.77083333
glance,https://github.com/samuelmeuli/glance,OpenStack Image Management (Glance). Mirror of code maintained at opendev.org.glance,219,47347,2005,382,67,10,102,10595,103.872549
glances,https://github.com/nicolargo/glances,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.glances",234,48964,2387,494,108,15,109,12348,113.2844037
gluon-cv,https://github.com/dmlc/gluon-cv,gluon-cv,698,133379,739,699,116,112,591,75850,128.3417936
gmvault,https://github.com/gaubert/gmvault,gmvault,65,9727,959,6,19,3,51,9130,179.0196078
Gooey,https://github.com/chriskiehl/Gooey,Turn (almost) any Python command line program into a full GUI application with one lineGooey,141,9348,505,69,94,15,115,5811,50.53043478
google-api-python-client,https://github.com/googleapis/google-api-python-client,🐍 The official Python client library for Google's discovery based APIs.google-api-python-client,4136,2728799,803,417,160,102,86,9526,110.7674419
google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Pythongoogle-cloud-python,4,173,255,145,54,42,1,112,112
google-images-download,https://github.com/hardikvasa/google-images-download,Python Script to download hundreds of images from 'Google Images'. It is a ready-to-run code!google-images-download,11,1002,86,43,25,25,7,944,134.8571429
google-maps-services-python,https://github.com/googlemaps/google-maps-services-python,Python client library for Google Maps API Web Servicesgoogle-maps-services-python,34,2960,293,82,53,26,28,2853,101.8928571
googler,https://github.com/jarun/googler,:mag: Google from the terminalgoogler,2,2313,705,48,29,9,2,2313,1156.5
gpodder,https://github.com/gpodder/gpodder,The gPodder podcast client.gpodder,115,17245,2063,94,128,14,102,16561,162.3627451
gpt-2,https://github.com/openai/gpt-2,"Code for the paper ""Language Models are Unsupervised Multitask Learners""gpt-2",6,430,50,5,14,5,6,430,71.66666667
GPT2-Chinese,https://github.com/Morizeyao/GPT2-Chinese,"Chinese version of GPT2 training code, using BERT tokenizer.GPT2-Chinese",17,1584,56,0,6,0,9,1528,169.7777778
gpt-neo,https://github.com/EleutherAI/gpt-neo,An implementation of model parallel GPT-2 and GPT-3-style models using the mesh-tensorflow library.gpt-neo,19,2443,581,8,27,4,19,2443,128.5789474
gradio,https://github.com/gradio-app/gradio,Create UIs for your machine learning model in Python in 3 minutesgradio,107,31195,1554,16,26,5,71,5301,74.66197183
gramps,https://github.com/gramps-project/gramps,Source code for Gramps Genealogical programgramps,1161,203943,11390,655,172,51,1115,191348,171.6125561
graph_nets,https://github.com/deepmind/graph_nets,graph_nets,24,8124,34,4,11,3,24,8124,338.5
graphene,https://github.com/graphql-python/graphene,GraphQL framework for Pythongraphene,132,8008,865,155,138,66,121,7647,63.19834711
graphene-django,https://github.com/graphql-python/graphene-django,graphene-django,128,9215,624,220,178,97,115,8697,75.62608696
great_expectations,https://github.com/great-expectations/great_expectations,great_expectations,954,254213,4255,1102,200,162,741,180365,243.4075574
grequests,https://github.com/spyoungtech/grequests,Requests + Gevent = <3grequests,3,275,54,4,24,4,3,275,91.66666667
guake,https://github.com/Guake/guake,Drop-down terminal for GNOMEguake,240,10150,1024,119,192,29,36,7320,203.3333333
gunicorn,https://github.com/benoitc/gunicorn,"gunicorn 'Green Unicorn' is a WSGI HTTP Server for UNIX, fast clients and sleepy applications.gunicorn",163,10766,1819,354,299,88,139,9535,68.5971223
gym,https://github.com/openai/gym,A toolkit for developing and comparing reinforcement learning algorithms.gym,192,15625,821,467,232,209,154,13315,86.46103896
h4cker,https://github.com/The-Art-of-Hacking/h4cker,h4cker,72,23922,2217,1,11,1,19,1015,53.42105263
hackingtool,https://github.com/Z4nzu/hackingtool,ALL IN ONE Hacking Tool For Hackershackingtool,31,1906,141,0,10,0,31,1906,61.48387097
haipproxy,https://github.com/SpiderClub/haipproxy,":sparkling_heart: High available distributed ip proxy pool, powerd by Scrapy and Redishaipproxy",52,2670,108,2,8,2,49,2638,53.83673469
HanLP,https://github.com/hankcs/HanLP,中文分词 词性标�?命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似�?新词发现 关键词短语提�?自动摘要 文本分类聚类 拼音简繁转�?自然语言处理HanLP,436,34401,419,0,6,0,418,33134,79.26794258
Hasklig,https://github.com/i-tu/Hasklig,Hasklig,8,957,265,3,44,3,1,140,140
have-fun-with-machine-learning,https://github.com/humphd/have-fun-with-machine-learning,have-fun-with-machine-learning,1,81,80,4,7,3,1,81,81
haxor-news,https://github.com/donnemartin/haxor-news,Browse Hacker News like a haxor: A Hacker News command line interface (CLI).haxor-news,52,3107,441,97,11,8,43,3047,70.86046512
healthchecks,https://github.com/healthchecks/healthchecks,A cron monitoring tool written in Python & Djangohealthchecks,694,47087,1660,205,63,5,343,18426,53.72011662
HelloGitHub,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.HelloGitHub",3,183,98,0,9,0,2,181,90.5
home-assistant,https://github.com/home-assistant/home-assistant,home-assistant,3802,333067,11374,8053,1244,1145,2537,296498,116.8695309
horizon,https://github.com/openstack/horizon,OpenStack Dashboard (Horizon). Mirror of code maintained at opendev.org.horizon,2399,162428,5749,2179,709,455,847,93239,110.081464
horovod,https://github.com/horovod/horovod,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.horovod",361,60058,805,800,117,116,223,35845,160.7399103
httpbin,https://github.com/postmanlabs/httpbin,"HTTP Request & Response Service, written in Python + Flask.httpbin",8,1762,542,46,103,23,8,1762,220.25
httpie,https://github.com/httpie/httpie,httpie,123,8914,755,214,66,34,76,7590,99.86842105
http-prompt,https://github.com/httpie/http-prompt,"An interactive command-line HTTP and API testing client built on top of HTTPie featuring autocomplete, syntax highlighting, and more. https://twitter.com/httpiehttp-prompt",39,4493,288,37,28,14,33,4396,133.2121212
httpstat,https://github.com/reorx/httpstat,httpstat,2,251,80,3,6,1,2,251,125.5
httpx,https://github.com/encode/httpx,httpx,74,10976,811,653,129,124,56,10757,192.0892857
huey,https://github.com/coleifer/huey,a little task queue for pythonhuey,59,7536,656,99,57,7,48,5603,116.7291667
hug,https://github.com/hugapi/hug,"Embrace the APIs of the future. Hug aims to make developing APIs as simple as possible, but no simpler.hug",145,9351,1723,47,115,20,129,8919,69.13953488
huxley,https://github.com/facebookarchive/huxley,A testing system for catching visual regressions in Web applications.huxley,12,607,43,0,9,0,12,607,50.58333333
hy,https://github.com/hylang/hy,A dialect of Lisp that's embedded in Pythonhy,43,6287,1915,195,147,44,35,5584,159.5428571
hydra,https://github.com/facebookresearch/hydra,Hydra is a framework for elegantly configuring complex applicationshydra,624,31671,1296,429,75,52,272,28338,104.1838235
hyperopt,https://github.com/hyperopt/hyperopt,Distributed Asynchronous Hyperparameter Optimization in Pythonhyperopt,70,11082,791,81,93,58,52,10970,210.9615385
hypothesis,https://github.com/HypothesisWorks/hypothesis,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.hypothesis",427,45151,4004,104,189,44,374,41650,111.3636364
icecream,https://github.com/gruns/icecream,🍦 Never use print() to debug again.icecream,9,791,185,0,19,0,9,791,87.88888889
iGAN,https://github.com/junyanz/iGAN,Interactive Image Generation via Generative Adversarial NetworksiGAN,43,3460,42,0,2,0,39,3434,88.05128205
igbot,https://github.com/ohld/igbot,igbot,119,12176,1597,22,134,10,111,12043,108.4954955
ignite,https://github.com/pytorch/ignite,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.ignite,294,41716,1026,931,145,145,256,39484,154.234375
image-analogies,https://github.com/awentzonline/image-analogies,Generate image analogies using neural matching and blending.image-analogies,28,1227,92,0,5,0,17,992,58.35294118
imagededup,https://github.com/idealo/imagededup,😎 Finding duplicate images made easy!imagededup,41,4895,277,19,11,7,33,3425,103.7878788
imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn, A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learningimbalanced-learn,148,14367,416,236,45,43,120,13023,108.525
imgaug,https://github.com/aleju/imgaug,Image augmentation for machine learning experiments.imgaug,158,93852,2265,104,34,5,147,93387,635.2857143
impacket,https://github.com/SecureAuthCorp/impacket,Impacket is a collection of Python classes for working with network protocols.impacket,273,119813,2615,54,160,21,265,119501,450.9471698
imutils,https://github.com/jrosebr1/imutils,"A series of convenience functions to make basic image processing operations such as translation, rotation, resizing, skeletonization, and displaying Matplotlib images easier with OpenCV and Python.imutils",44,1178,100,1,19,1,44,1178,26.77272727
InfoSpider,https://github.com/kangvcar/InfoSpider,InfoSpider,32,5566,169,1,14,1,25,2985,119.4
infrastructure-puppet,https://github.com/apache/infrastructure-puppet,infrastructure-puppet,1264,94126,7161,10,81,7,109,13938,127.8715596
insightface,https://github.com/deepinsight/insightface,insightface,649,109063,702,1,24,1,602,79587,132.2043189
instagram-scraper,https://github.com/arc298/instagram-scraper,Scrapes an instagram user's photos and videosinstagram-scraper,15,1863,261,89,56,29,5,1269,253.8
instaloader,https://github.com/instaloader/instaloader,Download pictures (or videos) along with their captions and other metadata from Instagram.instaloader,34,4458,686,193,34,29,21,3965,188.8095238
instantbox,https://github.com/instantbox/instantbox,"📦 Get a clean, ready-to-go Linux box in seconds.instantbox",2,266,76,5,8,2,2,266,133
InstaPy,https://github.com/timgrossmann/InstaPy,📷 Instagram Bot - Tool for automated Instagram interactionsInstaPy,54,13671,2054,183,291,82,38,13259,348.9210526
inter,https://github.com/rsms/inter,The Inter font familyinter,156,345421,776,99,12,10,58,7627,131.5
intermediatePython,https://github.com/yasoob/intermediatePython,intermediatePython,1,49,255,52,94,32,1,49,49
invoke,https://github.com/pyinvoke/invoke,Pythonic task management & command execution.invoke,157,21031,2713,284,47,7,141,20215,143.3687943
iOSBlogCN,https://github.com/tangqiaoboy/iOSBlogCN,iOSBlogCN,1,40,68,8,11,1,1,40,40
iOS-DeviceSupport,https://github.com/iGhibli/iOS-DeviceSupport,"This repository holds the device support files for the iOS, and I will update it regularly.iOS-DeviceSupport",1,40,67,0,21,0,1,40,40
IPProxyPool,https://github.com/qiyeboy/IPProxyPool,IPProxyPool,27,1391,86,0,13,0,27,1391,51.51851852
ipython,https://github.com/ipython/ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.ipython",358,37728,6672,406,494,101,342,35617,104.1432749
isort,https://github.com/PyCQA/isort,A Python utility / library to sort imports.isort,113,16091,1817,293,174,31,95,15825,166.5789474
jasper-client,https://github.com/jasperproject/jasper-client,Client code for Jasper voice computing platformjasper-client,36,3237,273,15,18,1,36,3237,89.91666667
jax,https://github.com/google/jax,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and morejax",346,102087,5566,1498,326,150,299,96388,322.367893
jd-assistant,https://github.com/tychxn/jd-assistant,京东抢购助手：包含登录，查询商品库存/价格，添�?清空购物车，抢购商品(下单)，查询订单等功能jd-assistant,11,1339,135,1,4,1,9,1311,145.6666667
jedi-vim,https://github.com/davidhalter/jedi-vim,jedi-vim,3,1004,486,101,81,25,3,1004,334.6666667
jieba,https://github.com/fxsjy/jieba,jieba,66,918626,381,23,50,12,59,194918,3303.694915
jrnl,https://github.com/jrnl-org/jrnl,Collect your thoughts and notes without leaving the command line.jrnl,115,5909,831,227,67,37,53,3860,72.83018868
jsonschema,https://github.com/Julian/jsonschema,An implementation of the JSON Schema specification for Pythonjsonschema,215,39328,1270,94,88,9,28,6262,223.6428571
jukebox,https://github.com/openai/jukebox,"Code for the paper ""Jukebox: A Generative Model for Music""jukebox",233,25691,98,0,8,0,187,21773,116.4331551
jumpgate,https://github.com/softlayer/jumpgate,A simple library to make more clouds compatible with OpenStack.jumpgate,106,7265,200,6,21,3,101,7191,71.1980198
jumpserver,https://github.com/jumpserver/jumpserver,JumpServer 是全球首款开源的堡垒机，是符�?4A 的专业运维安全审计系统。jumpserver,1118,129287,2909,436,83,36,869,41944,48.26697353
jupyter,https://github.com/jupyter/jupyter,"Jupyter metapackage for installation, docs and chatjupyter",11,613,288,10,46,7,3,114,38
jupytext,https://github.com/mwouts/jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scriptsjupytext",288,19030,1771,516,62,18,223,15744,70.60089686
kafka-python,https://github.com/dpkp/kafka-python,Python client for Apache Kafkakafka-python,143,21460,1445,412,182,113,136,20943,153.9926471
kaggle-api,https://github.com/Kaggle/kaggle-api,kaggle-api,26,7518,133,3,35,3,24,6287,261.9583333
KaraKara,https://github.com/calaldees/KaraKara,Karaoke Event System - Attendees can view and queue tracks from their mobile phonesKaraKara,138,18100,1174,1,5,1,95,6467,68.07368421
katoolin,https://github.com/LionSec/katoolin,Automatically install all Kali linux toolskatoolin,3,1423,62,1,11,1,3,1423,474.3333333
keras,https://github.com/keras-team/keras,Deep Learning for humanskeras,211,44305,3567,1560,754,634,180,41154,228.6333333
Keras-GAN,https://github.com/eriklindernoren/Keras-GAN,Keras implementations of Generative Adversarial Networks.Keras-GAN,29,3004,141,2,17,1,27,2982,110.4444444
keras-retinanet,https://github.com/fizyr/keras-retinanet,Keras implementation of RetinaNet object detection.keras-retinanet,58,4706,778,26,100,16,54,4606,85.2962963
keras-rl,https://github.com/keras-rl/keras-rl,Deep Reinforcement Learning for Keras.keras-rl,46,3930,236,50,39,24,43,3842,89.34883721
keras-yolo3,https://github.com/qqwweee/keras-yolo3,A Keras implementation of YOLOv3 (Tensorflow backend)keras-yolo3,10,1336,24,13,7,5,10,1336,133.6
kibble,https://github.com/apache/kibble,kibble,173,39604,569,3,4,1,70,8091,115.5857143
kinto,https://github.com/Kinto/kinto,kinto,218,69791,4352,611,123,39,168,24162,143.8214286
kitty,https://github.com/kovidgoyal/kitty,kitty,360,185697,6720,970,162,21,191,43359,227.0104712
kivy,https://github.com/kivy/kivy,"Open source UI framework written in Python, running on Windows, Linux, macOS, Android and iOSkivy",567,105522,8128,870,551,157,454,76057,167.5264317
KnowledgeGraphData,https://github.com/ownthink/KnowledgeGraphData,史上最大规�?.4亿中文知识图谱开源下载KnowledgeGraphData,1,8,13,0,2,0,1,8,8
knowledge-repo,https://github.com/airbnb/knowledge-repo,A next-generation curated knowledge sharing platform for data scientists and other technical professions.knowledge-repo,178,16023,385,116,64,40,103,7440,72.23300971
koalas,https://github.com/databricks/koalas,Koalas: pandas API on Apache Sparkkoalas,109,38487,1402,1321,60,58,98,37938,387.122449
kornia,https://github.com/kornia/kornia,Open Source Differentiable Computer Vision Librarykornia,323,43611,1019,475,124,100,287,42701,148.7839721
kube-hunter,https://github.com/aquasecurity/kube-hunter,Hunt for security weaknesses in Kubernetes clusterskube-hunter,76,5642,235,113,59,42,66,5252,79.57575758
labelImg,https://github.com/tzutalin/labelImg,🖍�?LabelImg is a graphical image annotation tool and label object bounding boxes in imageslabelImg,35,3420,298,30,92,21,26,3231,124.2692308
labelme,https://github.com/wkentaro/labelme,"Image Polygonal Annotation with Python (polygon, rectangle, circle, line, point and image-level flag annotation).labelme",73,10471,747,11,49,7,42,5021,119.547619
label-studio,https://github.com/heartexlabs/label-studio,Label Studio is a multi-type data labeling and annotation tool with standardized output formatlabel-studio,610,187923,745,566,53,45,218,20879,95.77522936
Lasagne,https://github.com/Lasagne/Lasagne,Lightweight library to build and train neural networks in TheanoLasagne,60,11926,741,25,72,11,57,11755,206.2280702
LaZagne,https://github.com/AlessandroZ/LaZagne,LaZagne,175,20239,500,28,38,6,174,20277,116.5344828
lbry-sdk,https://github.com/lbryio/lbry-sdk,lbry-sdk,282,70647,2374,51,82,22,266,65208,245.1428571
learning-to-learn,https://github.com/deepmind/learning-to-learn,Learning to Learn in TensorFlowlearning-to-learn,12,1283,12,1,5,1,12,1283,106.9166667
Learning-to-See-in-the-Dark,https://github.com/cchen156/Learning-to-See-in-the-Dark,Learning to See in the Dark. CVPR 2018Learning-to-See-in-the-Dark,6,610,45,0,7,0,6,610,101.6666667
learn-python,https://github.com/trekhleb/learn-python,learn-python,60,1254,32,11,10,10,57,1240,21.75438596
learn-python3,https://github.com/jerry-git/learn-python3,Jupyter notebooks for teaching/learning Python 3learn-python3,27,292323,93,0,4,0,1,69,69
legit,https://github.com/frostming/legit,"Git for Humans, Inspired by GitHub for Mac�?legit",10,880,383,24,55,11,10,880,88
lektor,https://github.com/lektor/lektor,The lektor static file content management systemlektor,171,31630,728,89,88,33,79,12875,162.9746835
libcloud,https://github.com/apache/libcloud,Apache Libcloud is a Python library which hides differences between different cloud provider APIs and allows you to manage different cloud resources through a unified and easy to use APIlibcloud,2473,321526,4838,972,350,249,608,125215,205.9457237
librosa,https://github.com/librosa/librosa,Python library for audio and music analysislibrosa,82,16393,2154,289,82,33,71,15674,220.7605634
lightfm,https://github.com/lyst/lightfm,"A Python implementation of LightFM, a hybrid recommendation algorithm.lightfm",31,38387,241,5,43,5,22,3442,156.4545455
Lihang,https://github.com/SmirkCao/Lihang,Lihang,37,3079,402,9,3,3,35,2940,84
lihang_book_algorithm,https://github.com/WenDesi/lihang_book_algorithm,lihang_book_algorithm,26,2574,33,0,3,0,16,1563,97.6875
line_profiler,https://github.com/rkern/line_profiler,line_profiler,7,685,70,2,12,2,7,685,97.85714286
linkchecker,https://github.com/linkchecker/linkchecker,check links in web documents or full websiteslinkchecker,336,33786,3809,3,3,1,281,28566,101.658363
linux-insides,https://github.com/0xAX/linux-insides,A little bit about a linux kernellinux-insides,2,78,799,9,224,9,1,58,58
listen1,https://github.com/listen1/listen1,one for all free music in china (origin edition)listen1,43,27251,11,0,3,0,28,2214,79.07142857
livestreamer,https://github.com/chrippa/livestreamer,"Command-line utility that extracts streams from various services and pipes them into a video player of choice. No longer maintained, use streamlink or youtube-dl instead.livestreamer",172,19781,1060,120,84,10,157,14750,93.94904459
localstack,https://github.com/localstack/localstack,💻  A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline!localstack,352,55809,2177,1470,370,333,260,50622,194.7
locust,https://github.com/locustio/locust,Scalable user load testing tool written in Pythonlocust,125,17833,2299,175,200,44,89,15391,172.9325843
loguru,https://github.com/Delgan/loguru,Python logging made (stupidly) simpleloguru,150,10827,535,113,30,26,141,10588,75.09219858
LSTM-Neural-Network-for-Time-Series-Prediction,https://github.com/jaungiers/LSTM-Neural-Network-for-Time-Series-Prediction,LSTM built using Keras Python package to predict time series steps and sequences. Includes sin wave and stock market dataLSTM-Neural-Network-for-Time-Series-Prediction,6,309,15,2,3,1,5,256,51.2
luigi,https://github.com/spotify/luigi,luigi,291,42816,2303,644,473,272,247,36700,148.582996
lutris,https://github.com/lutris/lutris,lutris,245,28948,5219,593,230,40,218,25944,119.0091743
MachineLearning,https://github.com/wepe/MachineLearning,Basic Machine Learning and Deep LearningMachineLearning,39,3213,61,0,8,0,31,2942,94.90322581
MachineLearning_Python,https://github.com/lawlite19/MachineLearning_Python,机器学习算法python实现MachineLearning_Python,14,965,108,0,4,0,13,955,73.46153846
machine-learning-course,https://github.com/instillai/machine-learning-course,:speech_balloon: Machine Learning Course with Python: machine-learning-course,82,16738,229,6,12,4,37,1383,37.37837838
mackup,https://github.com/lra/mackup,Keep your application settings in sync (OS X/Linux)mackup,20,1178,1366,377,368,192,12,1074,89.5
macOS-Security-and-Privacy-Guide,https://github.com/drduh/macOS-Security-and-Privacy-Guide,Guide to securing and improving privacy on macOSmacOS-Security-and-Privacy-Guide,3,71,395,88,85,6,1,69,69
magenta,https://github.com/magenta/magenta,Magenta: Music and Art Generation with Machine Intelligencemagenta,318,44882,936,592,134,86,307,44402,144.6319218
magic-wormhole,https://github.com/magic-wormhole/magic-wormhole,"get things from one computer to another, safelymagic-wormhole",97,18041,808,65,50,9,86,16900,196.5116279
mailinabox,https://github.com/mail-in-a-box/mailinabox,"Mail-in-a-Box helps individuals take back control of their email by defining a one-click, easy-to-deploy SMTP+everything else server: a mail server in a box.mailinabox",78,12193,1427,425,190,115,23,4635,201.5217391
Mailpile,https://github.com/mailpile/Mailpile,"A free & open modern, fast email client with user-friendly encryption and privacy featuresMailpile",509,89227,3318,401,155,34,178,44681,251.0168539
maltrail,https://github.com/stamparm/maltrail,maltrail,101,33634,45346,340,31,4,90,5463,60.7
manim,https://github.com/3b1b/manim,manim,97,15721,1400,45,123,31,92,15816,171.9130435
Mask_RCNN,https://github.com/matterport/Mask_RCNN,Mask R-CNN for object detection and instance segmentation on Keras and TensorFlowMask_RCNN,11,3274,112,11,34,8,11,3274,297.6363636
maskrcnn-benchmark,https://github.com/facebookresearch/maskrcnn-benchmark,"Fast, modular reference implementation of Instance Segmentation and Object Detection algorithms in PyTorch.maskrcnn-benchmark",220,16700,203,172,87,74,135,11046,81.82222222
material-theme,https://github.com/equinusocio/material-theme,"Material Theme, the most epic theme for Sublime Text 3 by Mattia Astorinomaterial-theme",92,17345,840,133,68,8,9,618,68.66666667
